--------------------------------------------------------------------------------------------------------------------
File                                                                             blank        comment           code
audio\audio.cpp                                      10             11             39
component\collfix.cpp                                10             27             39
spaces\spaces.h                                      16             13             39
animation\animation.h                                 4             10             38
vfx\LightManager.h                                   10             10             37
component\MultiEmitter.cpp                            9             41             37
graphics\Mesh.h                                      10             11             36
graphics\Tilemap.h                                    9             12             35
system\localize.h                                    14             30             35
vfx\TileDictionary.h                                  6              9             35
system\sysinfo.h                                     18             10             34
vfx\particle.h                                       12             18             34
physics\Vector2D.h                                   24             37             34
settings\settings.h                                   8             15             32
system\FileReading.cpp                                9             23             32
physics\Physics.h                                    27             19             31
timer\timer.h                                        24             62             31
system\heatmap.h                                     16             55             30
system\TrueType.h                                     9              9             30
vfx\color.h                                          13             18             29
vfx\LightReciever.h                                   8              9             29
component\paralax.h                                  12             12             28
physics\Matrix2D.h                                   25             28             27
component\pscript.h                                  16             12             26
graphics\LineMesh.h                                   7             99             26
graphics\SquareMesh.h                                 7             81             24
system\Engine.h                                      10             33             24
component\onewaycollider.h                           11             11             24
messaging\messaging.cpp                               6             11             23
vfx\Wave.h                                            7             11             22
component\teleporter.h                               10             11             22
audio\audio.h                                        13             11             21
graphics\MeshManager.h                               13             44             20
component\map.h                                       8             11             20
utils\autoplay.h                                      7             11             20
component\mousecollider.h                            10             11             20
trace\trace.h                                        16             72             19
system\exceptions.h                                   6             11             19
system\Window.h                                      14             35             18
messaging\ControllerEvent.h                           4              1             18
component\MultiEmitter.h                              8             10             17
input\input.h                                         6             39             17
graphics\Fade.h                                      11              9             17
system\timermanager.h                                13             11             17
messaging\InputEvent.cpp                              6              1             17
gameobject\GameObjectSerialize.h                      6             40             16
component\collfix.h                                   8             13             15
messaging\InputEvent.h                               14              1             15
maps\layer.h                                          8             12             14
IMGUI\imgui_impl_opengl3.h                            7             18             14
spaces\audiotestspace.cpp                             3             11             12
utils\utils.h                                         8             10             11
messaging\messaging.h                                 8             11             11
system\common_defines.h                               7             11             10
graphics\DebugWindow.h                                4             10             10
spaces\housespace.cpp                                 4             12              9
maps\tile.h                                           6             12              9
IMGUI\imgui_impl_glfw.h                               6             17              9
system\Utility.h                                      3             14              7
system\FileReading.h                                  3             10              2
IMGUI\imconfig.h                                     13             58              1
messaging\message.h                                   3             75              0
maps\tile.cpp                                         1             12              0
stub.h                                                3             17              0
maps\layer.cpp                                        1             12              0
component\map.cpp                                     1             11              0
messaging\message.cpp                                 3             65              0
--------------------------------------------------------------------------------------------------------------------
SUM:                                                                              6912          13310          42033
--------------------------------------------------------------------------------------------------------------------
